,datetime,stock_code,exchange_code,product_type,expiry_date,right,strike_price,open,high,low,close,volume,open_interest,count
187,2024-05-17 12:22:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,402.2,405.05,395.85,396.25,48120,1124190,187
188,2024-05-17 12:23:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,396.3,403.75,393,403.5,24105,1124190,188
189,2024-05-17 12:24:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,402.85,411.95,402.4,409.7,50880,1134570,189
190,2024-05-17 12:25:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,411.6,416.5,408.15,412.2,55725,1134570,190
191,2024-05-17 12:26:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,414.35,419.75,413.95,419.75,46005,1134570,191
192,2024-05-17 12:27:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,419.8,427.65,419.8,423.1,55770,1125855,192
193,2024-05-17 12:28:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,420.15,420.15,404.6,407.45,63135,1125855,193
194,2024-05-17 12:29:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,406,410.6,398.4,399.2,46455,1125855,194
195,2024-05-17 12:30:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,399.05,402.05,388.65,390.35,39015,1123710,195
196,2024-05-17 12:31:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,394.85,409,394.85,409,29190,1123710,196
197,2024-05-17 12:32:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,409.75,416.55,408.85,411.85,40590,1123710,197
198,2024-05-17 12:33:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,408.85,414.6,406,412.35,21825,1124640,198
199,2024-05-17 12:34:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,410.15,413.5,409.1,410,18450,1124640,199
200,2024-05-17 12:35:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,412.35,415,404.9,405.85,49995,1124640,200
201,2024-05-17 12:36:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,405,414,404.4,410.1,19605,1129335,201
202,2024-05-17 12:37:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,412,418.35,409.35,418.35,27645,1129335,202
203,2024-05-17 12:38:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,419.15,424.4,416.3,416.3,39915,1129335,203
204,2024-05-17 12:39:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,415.95,419.9,411.9,416.05,15090,1129275,204
205,2024-05-17 12:40:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,416.5,419.45,413.75,416.75,18930,1129275,205
206,2024-05-17 12:41:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,418.65,425.15,416.95,422.25,31755,1129275,206
207,2024-05-17 12:42:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,421.75,421.75,399.3,403,60330,1125870,207
208,2024-05-17 12:43:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,401.95,411.25,401.9,409.7,26160,1125870,208
209,2024-05-17 12:44:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,410.55,411,401.85,405.5,14685,1125870,209
210,2024-05-17 12:45:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,402.7,404.4,392.45,394.85,33495,1131150,210
211,2024-05-17 12:46:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,392.05,405.4,390.8,403.1,27420,1131150,211
212,2024-05-17 12:47:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,404.3,416.85,404.3,416.35,35745,1131150,212
213,2024-05-17 12:48:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,418.55,418.55,411.75,415.5,17445,1127205,213
214,2024-05-17 12:49:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,415.9,418.9,414.35,416.1,25320,1127205,214
215,2024-05-17 12:50:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,417.1,417.1,403.35,405.2,28350,1127205,215
216,2024-05-17 12:51:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,409.15,415,407.5,407.5,32295,1118445,216
217,2024-05-17 12:52:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,407.65,415,404.25,406.6,20010,1118445,217
218,2024-05-17 12:53:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,406.05,410.75,404.35,406.15,12585,1118445,218
219,2024-05-17 12:54:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,406.4,408.85,399.2,399.2,24540,1117590,219
220,2024-05-17 12:55:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,398.3,398.3,384.95,386.3,58965,1117590,220
221,2024-05-17 12:56:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,388.35,393.55,373.95,373.95,97860,1117590,221
222,2024-05-17 12:57:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,366.9,392.5,366.9,390,63480,1120395,222
223,2024-05-17 12:58:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,391.8,396.9,384.3,396.9,55770,1120395,223
224,2024-05-17 12:59:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,394.35,405,393.4,405,46575,1120395,224
225,2024-05-17 13:00:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,402.65,404.25,393.9,399.25,26085,1125495,225
226,2024-05-17 13:01:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,399.2,399.2,385.85,388.3,35385,1125495,226
227,2024-05-17 13:02:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,387.3,388.5,374,377.5,62415,1125495,227
228,2024-05-17 13:03:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,376.85,390.9,376.85,385.5,41280,1138185,228
229,2024-05-17 13:04:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,386.45,390.85,385.8,387.95,16845,1138185,229
230,2024-05-17 13:05:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,386.5,389.25,384.7,387.3,14235,1138185,230
231,2024-05-17 13:06:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,389.75,389.8,379.3,387.3,28155,1137615,231
232,2024-05-17 13:07:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,387.45,401.15,387.3,398.35,39075,1137615,232
233,2024-05-17 13:08:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,393.95,394.05,384.5,384.5,27180,1137615,233
234,2024-05-17 13:09:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,380.55,384.25,379,383.1,25530,1142385,234
235,2024-05-17 13:10:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,383.6,390,383.6,390,20145,1142385,235
236,2024-05-17 13:11:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,389.45,392.55,383.25,386.9,27030,1142385,236
237,2024-05-17 13:12:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,387.2,401.65,386.65,399.2,46845,1135425,237
238,2024-05-17 13:13:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,397.2,407.85,392.55,392.8,51960,1135425,238
239,2024-05-17 13:14:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,390.1,396.25,390.1,391.3,21540,1135425,239
240,2024-05-17 13:15:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,391.6,395.5,385.75,390.1,28560,1150350,240
241,2024-05-17 13:16:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,389,391.6,384.95,386.2,20175,1150350,241
242,2024-05-17 13:17:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,387.05,403.2,387.05,398.35,43200,1150350,242
243,2024-05-17 13:18:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,397.4,400.7,393,393.65,25620,1151760,243
244,2024-05-17 13:19:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,396,398.5,382.95,385,32325,1151760,244
245,2024-05-17 13:20:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,385.75,391.55,383.3,384.4,23100,1151760,245
246,2024-05-17 13:21:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,383.4,388.45,373,373.8,41295,1164000,246
247,2024-05-17 13:22:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,373.85,388.4,373.85,383,24510,1164000,247
248,2024-05-17 13:23:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,382.95,388,382.95,388,17580,1164000,248
249,2024-05-17 13:24:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,386.05,394.2,385.25,390.85,46830,1168860,249
250,2024-05-17 13:25:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,389.7,396.5,386.7,394,31605,1168860,250
251,2024-05-17 13:26:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,392.8,395.5,388.55,389.4,23670,1168860,251
252,2024-05-17 13:27:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,387.9,392.7,387.5,389.55,14820,1172940,252
253,2024-05-17 13:28:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,388.05,389.9,382.15,382.75,20415,1172940,253
254,2024-05-17 13:29:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,382.05,384.6,381.35,381.5,45150,1172940,254
255,2024-05-17 13:30:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,381.75,381.9,343.85,343.85,121380,1172940,255
256,2024-05-17 13:31:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,346.6,369.3,346.6,369.3,93210,1159185,256
257,2024-05-17 13:32:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,365.45,367.35,360,364.1,69315,1159185,257
258,2024-05-17 13:33:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,365.5,393.3,361.7,392,88485,1157010,258
259,2024-05-17 13:34:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,392.95,417.15,392.95,411.5,200430,1157010,259
260,2024-05-17 13:35:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,408.95,408.95,382.3,382.3,115245,1157010,260
261,2024-05-17 13:36:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,382.45,394.3,382.45,387.2,63840,1132725,261
262,2024-05-17 13:37:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,385.45,385.8,377.75,378.8,36225,1132725,262
263,2024-05-17 13:38:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,377.65,382.15,374.55,382.15,27900,1132725,263
264,2024-05-17 13:39:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,381.4,385.6,378.05,378.05,25950,1132725,264
265,2024-05-17 13:40:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,378.85,387.55,373.8,377.1,56430,1145430,265
266,2024-05-17 13:41:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,375.35,386.85,375.35,383.45,51615,1145430,266
267,2024-05-17 13:42:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,381.85,383,379.75,380.5,27345,1145430,267
268,2024-05-17 13:43:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,382.4,384.7,379.05,384,19140,1136565,268
269,2024-05-17 13:44:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,379.5,380,374.95,375.75,21255,1136565,269
270,2024-05-17 13:45:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,376.5,383,375.95,381.95,14400,1136565,270
271,2024-05-17 13:46:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,381.6,390.6,381.6,389.75,28230,1137720,271
272,2024-05-17 13:47:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,391.6,396.25,391.25,392.95,59865,1137720,272
273,2024-05-17 13:48:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,393.6,394.6,390.5,393.15,27465,1137720,273
274,2024-05-17 13:49:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,390.3,404.2,390.3,390.45,56010,1136790,274
275,2024-05-17 13:50:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,390.45,393.2,384.4,384.4,25050,1136790,275
276,2024-05-17 13:51:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,385.85,386,379.5,379.5,42300,1136790,276
277,2024-05-17 13:52:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,379,394.15,379,392.1,44340,1129455,277
278,2024-05-17 13:53:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,392.25,393.45,382.8,385.95,26220,1129455,278
279,2024-05-17 13:54:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,385.85,390.6,383.5,388.75,13140,1129455,279
280,2024-05-17 13:55:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,390.4,393.65,386.7,391.85,16890,1130010,280
281,2024-05-17 13:56:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,393.1,397.6,390.4,391.65,26235,1130010,281
282,2024-05-17 13:57:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,393,394.3,389.05,392.05,14730,1130010,282
283,2024-05-17 13:58:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,389.95,390.55,381.3,381.35,28380,1127130,283
284,2024-05-17 13:59:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,382.2,389.15,382.2,384.95,16185,1127130,284
285,2024-05-17 14:00:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,385.15,410.15,385.15,409.35,96045,1127130,285
286,2024-05-17 14:01:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,409.45,409.45,400.85,405.85,59760,1123800,286
287,2024-05-17 14:02:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,405.4,407.2,396.35,398.2,37485,1123800,287
288,2024-05-17 14:03:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,401.7,408,400.7,405,27480,1123800,288
289,2024-05-17 14:04:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,406.95,421.8,406.95,421.8,75060,1114740,289
290,2024-05-17 14:05:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,421.55,433.1,421.55,428.75,117735,1114740,290
291,2024-05-17 14:06:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,426.5,426.5,415.1,416.6,53865,1114740,291
292,2024-05-17 14:07:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,412.25,412.25,406.3,406.5,45465,1103445,292
293,2024-05-17 14:08:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,405.3,406.45,399.75,406.45,44205,1103445,293
294,2024-05-17 14:09:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,407.4,417.9,406.2,417.65,37035,1103445,294
295,2024-05-17 14:10:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,418.25,418.25,408.6,410.25,37050,1101900,295
296,2024-05-17 14:11:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,407.65,424,407.55,422.95,50685,1101900,296
297,2024-05-17 14:12:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,421.85,424.2,415.6,416.8,26970,1101900,297
298,2024-05-17 14:13:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,413.55,435.05,413.55,425.7,54630,1098525,298
299,2024-05-17 14:14:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,425.75,429.15,420.1,420.1,37080,1098525,299
300,2024-05-17 14:15:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,415.5,424.05,413.55,421.4,29835,1098525,300
301,2024-05-17 14:16:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,420.4,446.65,420.4,442.1,100995,1091115,301
302,2024-05-17 14:17:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,441.9,445.85,432.65,435,71970,1091115,302
303,2024-05-17 14:18:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,431.75,432.9,421.35,421.65,56460,1091115,303
304,2024-05-17 14:19:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,420.9,426.35,420.65,422.5,34920,1070865,304
305,2024-05-17 14:20:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,419.4,425.05,419.4,423.05,24105,1070865,305
306,2024-05-17 14:21:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,423.5,432.8,423.5,426.95,28710,1070865,306
307,2024-05-17 14:22:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,426.35,433.6,425,433.6,18090,1071150,307
308,2024-05-17 14:23:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,434.15,440.25,425.75,440.25,34410,1071150,308
309,2024-05-17 14:24:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,444,445.05,434.3,434.3,51720,1071150,309
310,2024-05-17 14:25:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,433.8,433.85,419.85,427.7,53160,1054665,310
311,2024-05-17 14:26:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,427.45,433,424.45,429.5,19560,1054665,311
312,2024-05-17 14:27:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,427.05,430.65,411.1,411.5,40425,1054665,312
313,2024-05-17 14:28:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,414.25,418.65,405.95,409.7,41280,1063560,313
314,2024-05-17 14:29:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,409,418.6,408.7,414.65,25485,1063560,314
315,2024-05-17 14:30:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,414.6,419,410.05,410.05,27690,1063560,315
316,2024-05-17 14:31:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,410.65,414.25,402.5,404.8,42810,1062510,316
317,2024-05-17 14:32:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,407.3,424.7,407.3,420.9,49665,1062510,317
318,2024-05-17 14:33:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,421.55,424.75,413.95,415.35,28665,1062510,318
319,2024-05-17 14:34:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,415.05,420.45,412.15,413.7,18885,1057545,319
320,2024-05-17 14:35:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,412,426.1,409.65,417.45,31890,1057545,320
321,2024-05-17 14:36:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,417,424.2,417,421,22995,1057545,321
322,2024-05-17 14:37:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,420.8,430.3,418.2,425,39975,1060365,322
323,2024-05-17 14:38:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,423.6,428.05,418.75,423.3,20400,1060365,323
324,2024-05-17 14:39:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,422.1,430.9,422.1,428.65,48135,1060365,324
325,2024-05-17 14:40:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,427.4,442.35,427.3,434.7,55260,1041300,325
326,2024-05-17 14:41:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,437.2,437.2,427.15,427.15,35880,1041300,326
327,2024-05-17 14:42:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,425.45,426.6,415,415,50310,1041300,327
328,2024-05-17 14:43:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,414.25,417.7,412,415.85,25575,1027140,328
329,2024-05-17 14:44:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,415.4,417.65,410.9,412.2,24120,1027140,329
330,2024-05-17 14:45:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,411.65,423.15,398.35,399.7,63405,1027140,330
331,2024-05-17 14:46:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,398.1,401.3,389.45,399.4,49005,1029210,331
332,2024-05-17 14:47:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,398.35,404.15,398.35,403.65,41490,1029210,332
333,2024-05-17 14:48:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,403.25,411.5,403.25,411.5,23670,1029210,333
334,2024-05-17 14:49:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,414.45,416.3,410.85,414.45,29850,1031400,334
335,2024-05-17 14:50:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,413.15,413.15,400.45,410.15,32265,1031400,335
336,2024-05-17 14:51:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,411.95,412.6,405,405.45,17160,1031400,336
337,2024-05-17 14:52:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,404.6,407.85,403.2,405.4,13350,1033470,337
338,2024-05-17 14:53:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,403.85,403.85,390.55,392.25,31425,1033470,338
339,2024-05-17 14:54:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,389.9,399.25,389.3,398.3,21150,1033470,339
340,2024-05-17 14:55:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,396.55,396.55,375.25,389.1,75480,1038450,340
341,2024-05-17 14:56:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,388.95,391.15,382.75,386.7,25140,1038450,341
342,2024-05-17 14:57:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,390.85,400,390.85,398.15,30555,1038450,342
343,2024-05-17 14:58:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,397.3,397.3,389.1,391.2,18210,1037280,343
344,2024-05-17 14:59:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,391.85,396.95,390,390.75,20370,1037280,344
345,2024-05-17 15:00:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,385.8,387.35,364.45,382.8,131805,1037280,345
346,2024-05-17 15:01:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,379.15,385.85,367.15,370.8,41820,1058400,346
347,2024-05-17 15:02:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,369.15,374.25,363.7,365.85,45195,1058400,347
348,2024-05-17 15:03:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,368.25,379.5,368.15,377.45,37815,1058400,348
349,2024-05-17 15:04:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,375.05,375.05,345.25,360.25,91470,1071030,349
350,2024-05-17 15:05:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,358.8,364.8,350.7,358.35,78885,1071030,350
351,2024-05-17 15:06:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,358.7,360.5,355.7,357,50115,1071030,351
352,2024-05-17 15:07:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,357.65,357.65,333.1,339.6,102570,1074870,352
353,2024-05-17 15:08:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,337.85,350.2,337,347.8,69570,1074870,353
354,2024-05-17 15:09:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,347.85,361.95,347.6,361.95,71685,1074870,354
355,2024-05-17 15:10:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,358.4,374.5,353.2,373.45,61725,1052175,355
356,2024-05-17 15:11:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,369.9,371.7,362.55,370.15,73680,1052175,356
357,2024-05-17 15:12:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,371.45,386.75,370.35,382.5,103500,1052175,357
358,2024-05-17 15:13:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,382.75,386.6,372.25,386.6,67155,1022955,358
359,2024-05-17 15:14:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,386.1,395.1,385.85,394.4,97575,1022955,359
360,2024-05-17 15:15:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,396.8,429,396.6,426,179730,1022955,360
361,2024-05-17 15:16:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,423.95,425.35,408.05,419.35,120315,962520,361
362,2024-05-17 15:17:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,420,422.65,397.8,402,114510,962520,362
363,2024-05-17 15:18:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,399.75,414.5,399.75,411.15,81255,962520,363
364,2024-05-17 15:19:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,413.85,417.9,412.65,414.2,71640,912225,364
365,2024-05-17 15:20:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,422,425.05,401.9,409.15,83670,912225,365
366,2024-05-17 15:21:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,407.7,412.25,404.65,405.35,35610,912225,366
367,2024-05-17 15:22:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,406.45,407.4,389.75,389.75,55905,855915,367
368,2024-05-17 15:23:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,391.55,413.5,391.55,410.4,41745,855915,368
369,2024-05-17 15:24:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,413.3,413.3,407.4,412.95,60015,855915,369
370,2024-05-17 15:25:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,412.2,412.2,401.95,404.55,62235,812550,370
371,2024-05-17 15:26:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,403.1,405.7,394.15,398.8,32745,812550,371
372,2024-05-17 15:27:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,400.25,403.35,396.9,397.1,34680,812550,372
373,2024-05-17 15:28:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,398.95,401.9,395.05,396.3,28860,787950,373
374,2024-05-17 15:29:00,CNXBAN,NFO,Options,22-MAY-24,Call,47900,399,399,395.9,398,68985,787950,374
